Date,Price
2016-02-01,233.67
2016-02-02,231.1
2016-02-03,228.97
2016-02-04,232.91
2016-02-05,233.3
2016-02-11,226.7
2016-02-12,224.98
2016-02-15,228.4
2016-02-16,231.52
2016-02-17,231.94
2016-02-18,234.74
2016-02-19,235.27
2016-02-22,234.95
2016-02-23,235.03
2016-02-24,234.91
2016-02-25,235.37
2016-02-26,235.22
2016-02-29,234.63
2016-03-02,238.63
2016-03-03,240.09
2016-03-04,239.74
2016-03-07,240.21
2016-03-08,238.44
2016-03-09,239.13
2016-03-10,241.43
2016-03-11,241.97
2016-03-14,242.15
2016-03-15,241.83
2016-03-16,242.35
2016-03-17,244.09
2016-03-18,244.63
2016-03-21,244.28
2016-03-22,245.41
2016-03-23,245.23
2016-03-24,244.08
2016-03-25,243.79
2016-03-28,243.95
2016-03-29,245.53
2016-03-30,246.54
2016-03-31,245.86
2016-04-01,242.36
2016-04-04,243.05
2016-04-05,240.58
2016-04-06,241.99
2016-04-07,242.29
2016-04-08,241.77
2016-04-11,242.06
2016-04-12,243.71
2016-04-14,248.89
2016-04-15,248.53
2016-04-18,248.0
2016-04-19,247.88
2016-04-20,247.26
2016-04-21,249.39
2016-04-22,248.32
2016-04-25,248.13
2016-04-26,248.92
2016-04-27,248.69
2016-04-28,246.27
2016-04-29,245.2
2016-05-02,243.47
2016-05-03,244.29
2016-05-04,243.31
2016-05-09,242.23
2016-05-10,243.68
2016-05-11,243.07
2016-05-12,242.34
2016-05-13,240.6
2016-05-16,240.82
2016-05-17,241.03
2016-05-18,239.82
2016-05-19,239.04
2016-05-20,238.74
2016-05-23,239.85
2016-05-24,237.65
2016-05-25,240.91
2016-05-26,240.58
2016-05-27,241.85
2016-05-30,241.73
2016-05-31,243.63
2016-06-01,243.58
2016-06-02,244.18
2016-06-03,244.39
2016-06-07,247.85
2016-06-08,250.04
2016-06-09,250.19
2016-06-10,248.96
2016-06-13,244.05
2016-06-14,243.35
2016-06-15,243.3
2016-06-16,241.61
2016-06-17,241.63
2016-06-20,245.17
2016-06-21,245.34
2016-06-22,246.75
2016-06-23,246.31
2016-06-24,239.21
2016-06-27,239.28
2016-06-28,240.08
2016-06-29,242.32
2016-06-30,244.14
2016-07-01,246.52
2016-07-04,247.62
2016-07-05,246.91
2016-07-06,241.86
2016-07-07,244.6
2016-07-08,243.43
2016-07-11,246.99
2016-07-12,247.14
2016-07-13,249.25
2016-07-14,249.8
2016-07-15,251.02
2016-07-18,251.52
2016-07-19,250.97
2016-07-20,250.66
2016-07-21,250.44
2016-07-22,250.04
2016-07-25,250.65
2016-07-26,252.72
2016-07-27,252.73
2016-07-28,251.86
2016-07-29,251.48
2016-08-01,253.81
2016-08-02,251.93
2016-08-03,248.65
2016-08-04,249.24
2016-08-05,252.36
2016-08-08,254.11
2016-08-09,255.85
2016-08-10,255.43
2016-08-11,256.18
2016-08-12,256.17
2016-08-16,256.15
2016-08-17,256.04
2016-08-18,258.11
2016-08-19,258.69
2016-08-22,257.27
2016-08-23,258.42
2016-08-24,257.3
2016-08-25,257.26
2016-08-26,256.23
2016-08-29,256.49
2016-08-30,257.49
2016-08-31,256.87
2016-09-01,256.03
2016-09-02,256.5
2016-09-05,259.64
2016-09-06,260.93
2016-09-07,260.31
2016-09-08,260.86
2016-09-09,257.31
2016-09-12,250.53
2016-09-13,251.77
2016-09-19,253.93
2016-09-20,255.09
2016-09-21,256.52
2016-09-22,258.34
2016-09-23,258.37
2016-09-26,257.48
2016-09-27,259.57
2016-09-28,258.21
2016-09-29,260.35
2016-09-30,257.49
2016-10-04,259.18
2016-10-05,258.99
2016-10-06,261.13
2016-10-07,260.06
2016-10-10,260.31
2016-10-11,256.15
2016-10-12,256.2
2016-10-13,253.93
2016-10-14,255.09
2016-10-17,256.19
2016-10-18,257.98
2016-10-19,258.21
2016-10-20,258.41
2016-10-21,257.26
2016-10-24,259.48
2016-10-25,258.57
2016-10-26,255.52
2016-10-27,256.66
2016-10-28,256.53
2016-10-31,255.93
2016-11-01,255.99
2016-11-02,252.83
2016-11-03,252.9
2016-11-04,252.57
2016-11-07,254.6
2016-11-08,255.26
2016-11-09,249.67
2016-11-10,255.31
2016-11-11,251.99
2016-11-14,250.01
2016-11-15,249.2
2016-11-16,250.32
2016-11-17,250.46
2016-11-18,250.21
2016-11-21,249.51
2016-11-22,252.37
2016-11-23,253.66
2016-11-24,252.03
2016-11-25,252.26
2016-11-28,252.96
2016-11-29,252.91
2016-11-30,254.26
2016-12-01,254.48
2016-12-02,252.88
2016-12-05,252.14
2016-12-06,255.63
2016-12-07,256.34
2016-12-08,262.0
2016-12-09,260.91
2016-12-12,260.72
2016-12-13,261.63
2016-12-14,262.0
2016-12-15,261.45
2016-12-16,262.56
2016-12-19,261.93
2016-12-20,262.59
2016-12-21,262.1
2016-12-22,261.97
2016-12-23,261.61
2016-12-26,261.9
2016-12-27,262.49
2016-12-28,259.7
2016-12-29,260.01
2017-01-02,260.36
2017-01-03,262.97
2017-01-04,263.12
2017-01-05,261.98
2017-01-06,263.2
2017-01-09,263.74
2017-01-10,263.73
2017-01-11,268.15
2017-01-12,269.95
2017-01-13,267.91
2017-01-16,266.15
2017-01-17,267.37
2017-01-18,267.08
2017-01-19,267.7
2017-01-20,266.52
2017-01-23,267.12
2017-01-24,267.3
2017-01-25,268.15
2017-01-26,270.48
2017-01-31,268.09
2017-02-01,269.56
2017-02-02,268.49
2017-02-03,268.85
2017-02-06,269.49
2017-02-07,268.97
2017-02-08,267.72
2017-02-09,267.69
2017-02-10,268.66
2017-02-13,268.81
2017-02-14,267.9
2017-02-15,268.81
2017-02-16,268.93
2017-02-17,268.84
2017-02-20,269.73
2017-02-21,272.11
2017-02-22,272.85
2017-02-23,272.89
2017-02-24,270.38
2017-02-27,268.97
2017-02-28,270.06
2017-03-02,272.65
2017-03-03,269.77
2017-03-06,270.41
2017-03-07,271.87
2017-03-08,272.29
2017-03-09,271.62
2017-03-10,272.29
2017-03-13,275.41
2017-03-14,277.89
2017-03-15,277.89
2017-03-16,280.11
2017-03-17,281.86
2017-03-20,280.75
2017-03-21,283.84
2017-03-22,282.63
2017-03-23,282.81
2017-03-24,282.31
2017-03-27,280.36
2017-03-28,281.25
2017-03-29,281.86
2017-03-30,281.66
2017-03-31,280.64
2017-04-03,281.6
2017-04-04,280.92
2017-04-05,280.74
2017-04-06,279.47
2017-04-07,279.01
2017-04-10,277.21
2017-04-11,275.49
2017-04-12,276.21
2017-04-13,279.12
2017-04-14,277.31
2017-04-17,278.1
2017-04-18,278.23
2017-04-19,276.49
2017-04-20,277.76
2017-04-21,280.05
2017-04-24,281.96
2017-04-25,285.41
2017-04-26,286.78
2017-04-27,287.34
2017-04-28,287.21
2017-05-02,289.65
2017-05-04,292.47
2017-05-08,299.86
2017-05-10,296.19
2017-05-11,299.75
2017-05-12,298.25
2017-05-15,298.87
2017-05-16,299.67
2017-05-17,299.34
2017-05-18,298.47
2017-05-19,298.08
2017-05-22,300.63
2017-05-23,301.36
2017-05-24,301.71
2017-05-25,305.22
2017-05-26,306.96
2017-05-29,306.52
2017-05-30,304.59
2017-05-31,304.67
2017-06-01,304.03
2017-06-02,307.83
2017-06-05,307.33
2017-06-07,305.68
2017-06-08,306.25
2017-06-09,309.38
2017-06-12,306.24
2017-06-13,308.02
2017-06-14,307.95
2017-06-15,306.69
2017-06-16,306.79
2017-06-19,308.61
2017-06-20,309.31
2017-06-21,307.52
2017-06-22,309.47
2017-06-23,310.26
2017-06-26,311.89
2017-06-27,312.12
2017-06-28,310.84
2017-06-29,312.56
2017-06-30,311.76
2017-07-03,312.39
2017-07-04,310.46
2017-07-05,311.77
2017-07-06,311.88
2017-07-07,310.66
2017-07-10,311.46
2017-07-11,313.59
2017-07-12,313.58
2017-07-13,316.35
2017-07-14,317.35
2017-07-17,318.52
2017-07-18,318.65
2017-07-19,318.91
2017-07-20,320.61
2017-07-21,321.79
2017-07-24,322.01
2017-07-25,320.15
2017-07-26,319.46
2017-07-27,320.51
2017-07-28,314.13
2017-07-31,314.6
2017-08-01,317.04
2017-08-02,317.69
2017-08-03,312.29
2017-08-04,313.46
2017-08-07,313.96
2017-08-08,313.4
2017-08-09,309.52
2017-08-10,308.37
2017-08-11,302.72
2017-08-14,304.93
2017-08-16,307.16
2017-08-17,309.02
2017-08-18,308.39
2017-08-21,308.14
2017-08-22,309.34
2017-08-23,309.71
2017-08-24,310.73
2017-08-25,311.21
2017-08-28,309.53
2017-08-29,308.64
2017-08-30,309.65
2017-08-31,308.28
2017-09-01,307.78
2017-09-04,304.19
2017-09-05,304.06
2017-09-06,303.18
2017-09-07,306.97
2017-09-08,307.43
2017-09-11,309.83
2017-09-12,310.42
2017-09-13,310.0
2017-09-14,312.52
2017-09-15,313.69
2017-09-18,318.93
2017-09-19,318.51
2017-09-20,318.48
2017-09-21,318.25
2017-09-22,316.71
2017-09-25,316.4
2017-09-26,314.29
2017-09-27,313.82
2017-09-28,313.85
2017-09-29,316.27
2017-10-10,322.49
2017-10-11,326.12
2017-10-12,328.11
2017-10-13,327.35
2017-10-16,327.82
2017-10-17,328.51
2017-10-18,328.4
2017-10-19,326.47
2017-10-20,328.89
2017-10-23,329.45
2017-10-24,328.96
2017-10-25,329.31
2017-10-26,326.99
2017-10-27,329.23
2017-10-30,330.38
2017-10-31,333.57
2017-11-01,338.76
2017-11-02,337.53
2017-11-03,338.83
2017-11-06,337.4
2017-11-07,336.76
2017-11-08,337.8
2017-11-09,337.14
2017-11-10,335.96
2017-11-13,334.33
2017-11-14,333.62
2017-11-15,332.17
2017-11-16,334.36
2017-11-17,334.18
2017-11-20,332.92
2017-11-21,333.51
2017-11-22,335.49
2017-11-23,334.51
2017-11-24,335.44
2017-11-27,329.53
2017-11-28,330.99
2017-11-29,330.68
2017-11-30,325.25
2017-12-01,324.78
2017-12-04,328.77
2017-12-05,329.61
2017-12-06,324.52
2017-12-07,323.59
2017-12-08,324.68
2017-12-11,325.09
2017-12-12,324.07
2017-12-13,326.18
2017-12-14,324.74
2017-12-15,326.23
2017-12-18,326.6
2017-12-19,326.76
2017-12-20,325.79
2017-12-21,319.72
2017-12-22,321.21
2017-12-26,318.89
2017-12-27,320.25
2017-12-28,324.74
2018-01-02,326.0
2018-01-03,327.13
2018-01-04,324.58
2018-01-05,328.97
2018-01-08,331.28
2018-01-09,330.25
2018-01-10,327.61
2018-01-11,325.67
2018-01-12,326.72
2018-01-15,327.39
2018-01-16,330.02
2018-01-17,329.19
2018-01-18,329.13
2018-01-19,329.52
2018-01-22,326.27
2018-01-23,330.93
2018-01-24,330.91
2018-01-25,334.08
2018-01-26,335.38
2018-01-29,338.05
2018-01-30,333.4
2018-01-31,333.38
2018-02-01,333.36
2018-02-02,327.01
2018-02-05,323.29
2018-02-06,318.01
2018-02-07,310.48
2018-02-08,311.62
2018-02-09,304.83
2018-02-12,308.13
2018-02-13,310.87
2018-02-14,314.4
2018-02-19,316.61
2018-02-20,312.83
2018-02-21,314.47
2018-02-22,312.17
2018-02-23,316.81
2018-02-26,317.34
2018-02-27,316.83
2018-02-28,312.86
